project_id,usage_start_time,service,sku,region,cost,credits,instance
proj-18,2024-11-18,BigQuery,sku-BIG-234,us-central1,40.0,0.0,vm-dev-1
proj-19,2024-11-18,Dataflow,sku-DAT-247,europe-west1,42.92,0.0,vm-batch-1
proj-20,2024-11-18,Cloud Run,sku-CLO-260,europe-west1,6.44,0.0,vm-analytics-1
proj-21,2024-11-18,Compute Engine,sku-COM-273,us-central1,12.35,0.0,vm-prod-1
proj-22,2024-11-18,Cloud Storage,sku-CLO-286,us-central1,23.37,0.0,vm-dev-1
proj-23,2024-11-18,BigQuery,sku-BIG-299,europe-west1,38.99,0.0,vm-batch-1
proj-24,2024-11-18,Dataflow,sku-DAT-312,us-central1,43.56,0.0,vm-analytics-1
proj-25,2024-11-18,Cloud Run,sku-CLO-325,asia-south1,6.6,0.0,vm-prod-1
proj-26,2024-11-18,Compute Engine,sku-COM-338,us-central1,12.54,0.0,vm-dev-1
proj-27,2024-11-18,Cloud Storage,sku-CLO-351,asia-south1,3.6,0.0,vm-batch-1
proj-28,2024-11-18,BigQuery,sku-BIG-364,europe-west1,41.92,0.0,vm-analytics-1
proj-29,2024-11-18,Dataflow,sku-DAT-377,us-central1,300.46,0.0,vm-prod-1
proj-30,2024-11-18,Cloud Run,sku-CLO-390,asia-south1,6.96,0.0,vm-dev-1
proj-1,2024-11-19,Compute Engine,sku-COM-13,asia-south1,13.08,0.0,vm-prod-1
proj-2,2024-11-19,Cloud Storage,sku-CLO-26,europe-west1,23.68,0.0,vm-dev-1
proj-3,2024-11-19,BigQuery,sku-BIG-39,us-central1,39.71,0.0,vm-batch-1
proj-4,2024-11-19,Dataflow,sku-DAT-52,asia-south1,40.57,0.0,vm-analytics-1
proj-5,2024-11-19,Cloud Run,sku-CLO-65,europe-west1,6.68,0.0,vm-prod-1
proj-6,2024-11-19,Compute Engine,sku-COM-78,europe-west1,13.53,0.0,vm-dev-1
proj-7,2024-11-19,Cloud Storage,sku-CLO-91,europe-west1,2.8,0.0,vm-batch-1
proj-8,2024-11-19,BigQuery,sku-BIG-104,asia-south1,37.62,0.0,vm-analytics-1
proj-9,2024-11-19,Dataflow,sku-DAT-117,europe-west1,302.42,0.0,vm-prod-1
proj-10,2024-11-19,Cloud Run,sku-CLO-130,us-central1,7.3,0.0,vm-dev-1
proj-11,2024-11-19,Compute Engine,sku-COM-143,europe-west1,12.82,0.0,vm-batch-1
proj-12,2024-11-19,Cloud Storage,sku-CLO-156,us-central1,3.27,0.0,vm-analytics-1
proj-13,2024-11-19,BigQuery,sku-BIG-169,asia-south1,38.68,0.0,vm-prod-1
proj-14,2024-11-19,Dataflow,sku-DAT-182,us-central1,42.3,0.0,vm-dev-1
proj-15,2024-11-19,Cloud Run,sku-CLO-195,europe-west1,5.86,0.0,vm-batch-1
proj-16,2024-11-19,Compute Engine,sku-COM-208,us-central1,95.05,0.0,vm-analytics-1
proj-17,2024-11-19,Cloud Storage,sku-CLO-221,us-central1,3.31,0.0,vm-prod-1
proj-18,2024-11-19,BigQuery,sku-BIG-234,europe-west1,39.22,0.0,vm-dev-1
proj-19,2024-11-19,Dataflow,sku-DAT-247,europe-west1,38.4,0.0,vm-batch-1
proj-20,2024-11-19,Cloud Run,sku-CLO-260,europe-west1,6.09,0.0,vm-analytics-1
proj-21,2024-11-19,Compute Engine,sku-COM-273,us-central1,12.94,0.0,vm-prod-1
proj-22,2024-11-19,Cloud Storage,sku-CLO-286,asia-south1,3.3,0.0,vm-dev-1
proj-23,2024-11-19,BigQuery,sku-BIG-299,europe-west1,284.79,0.0,vm-batch-1
proj-24,2024-11-19,Dataflow,sku-DAT-312,asia-south1,40.88,0.0,vm-analytics-1
proj-25,2024-11-19,Cloud Run,sku-CLO-325,us-central1,6.89,0.0,vm-prod-1
proj-26,2024-11-19,Compute Engine,sku-COM-338,europe-west1,13.47,0.0,vm-dev-1
proj-27,2024-11-19,Cloud Storage,sku-CLO-351,europe-west1,3.37,0.0,vm-batch-1
proj-28,2024-11-19,BigQuery,sku-BIG-364,europe-west1,38.77,0.0,vm-analytics-1
proj-29,2024-11-19,Dataflow,sku-DAT-377,asia-south1,42.58,0.0,vm-prod-1
proj-30,2024-11-19,Cloud Run,sku-CLO-390,europe-west1,48.99,0.0,vm-dev-1
proj-1,2024-11-20,Compute Engine,sku-COM-13,asia-south1,12.68,0.0,vm-prod-1
proj-2,2024-11-20,Cloud Storage,sku-CLO-26,europe-west1,3.51,0.0,vm-dev-1
proj-3,2024-11-20,BigQuery,sku-BIG-39,asia-south1,285.21,0.0,vm-batch-1
proj-4,2024-11-20,Dataflow,sku-DAT-52,europe-west1,42.54,0.0,vm-analytics-1
proj-5,2024-11-20,Cloud Run,sku-CLO-65,europe-west1,6.32,0.0,vm-prod-1
proj-6,2024-11-20,Compute Engine,sku-COM-78,us-central1,14.13,0.0,vm-dev-1
proj-7,2024-11-20,Cloud Storage,sku-CLO-91,europe-west1,3.25,0.0,vm-batch-1
proj-8,2024-11-20,BigQuery,sku-BIG-104,us-central1,39.27,0.0,vm-analytics-1
proj-9,2024-11-20,Dataflow,sku-DAT-117,us-central1,41.42,0.0,vm-prod-1
proj-10,2024-11-20,Cloud Run,sku-CLO-130,europe-west1,49.81,0.0,vm-dev-1
proj-11,2024-11-20,Compute Engine,sku-COM-143,asia-south1,13.74,0.0,vm-batch-1
proj-12,2024-11-20,Cloud Storage,sku-CLO-156,europe-west1,3.28,0.0,vm-analytics-1
proj-13,2024-11-20,BigQuery,sku-BIG-169,europe-west1,40.87,0.0,vm-prod-1
proj-14,2024-11-20,Dataflow,sku-DAT-182,asia-south1,42.08,0.0,vm-dev-1
proj-15,2024-11-20,Cloud Run,sku-CLO-195,us-central1,6.77,0.0,vm-batch-1
proj-16,2024-11-20,Compute Engine,sku-COM-208,asia-south1,12.05,0.0,vm-analytics-1
proj-17,2024-11-20,Cloud Storage,sku-CLO-221,europe-west1,23.62,0.0,vm-prod-1
proj-18,2024-11-20,BigQuery,sku-BIG-234,asia-south1,41.49,0.0,vm-dev-1
proj-19,2024-11-20,Dataflow,sku-DAT-247,europe-west1,41.92,0.0,vm-batch-1
proj-20,2024-11-20,Cloud Run,sku-CLO-260,europe-west1,6.47,0.0,vm-analytics-1
proj-21,2024-11-20,Compute Engine,sku-COM-273,asia-south1,13.93,0.0,vm-prod-1
proj-22,2024-11-20,Cloud Storage,sku-CLO-286,europe-west1,3.23,0.0,vm-dev-1
proj-23,2024-11-20,BigQuery,sku-BIG-299,us-central1,43.25,0.0,vm-batch-1
proj-24,2024-11-20,Dataflow,sku-DAT-312,europe-west1,300.04,0.0,vm-analytics-1
proj-25,2024-11-20,Cloud Run,sku-CLO-325,us-central1,6.89,0.0,vm-prod-1
proj-26,2024-11-20,Compute Engine,sku-COM-338,us-central1,14.33,0.0,vm-dev-1
proj-27,2024-11-20,Cloud Storage,sku-CLO-351,us-central1,3.17,0.0,vm-batch-1
proj-28,2024-11-20,BigQuery,sku-BIG-364,europe-west1,38.22,0.0,vm-analytics-1
proj-29,2024-11-20,Dataflow,sku-DAT-377,europe-west1,41.0,0.0,vm-prod-1
proj-30,2024-11-20,Cloud Run,sku-CLO-390,asia-south1,6.72,0.0,vm-dev-1
proj-1,2024-11-21,Compute Engine,sku-COM-13,asia-south1,14.09,0.0,vm-prod-1
proj-2,2024-11-21,Cloud Storage,sku-CLO-26,europe-west1,3.51,0.0,vm-dev-1
proj-3,2024-11-21,BigQuery,sku-BIG-39,us-central1,37.65,0.0,vm-batch-1
proj-4,2024-11-21,Dataflow,sku-DAT-52,us-central1,643.06,0.0,vm-analytics-1
proj-5,2024-11-21,Cloud Run,sku-CLO-65,us-central1,7.02,0.0,vm-prod-1
proj-6,2024-11-21,Compute Engine,sku-COM-78,asia-south1,13.18,0.0,vm-dev-1
proj-7,2024-11-21,Cloud Storage,sku-CLO-91,asia-south1,3.52,0.0,vm-batch-1
proj-8,2024-11-21,BigQuery,sku-BIG-104,us-central1,39.25,0.0,vm-analytics-1
proj-9,2024-11-21,Dataflow,sku-DAT-117,us-central1,40.77,0.0,vm-prod-1
proj-10,2024-11-21,Cloud Run,sku-CLO-130,us-central1,6.39,0.0,vm-dev-1
proj-11,2024-11-21,Compute Engine,sku-COM-143,us-central1,93.28,0.0,vm-batch-1
proj-12,2024-11-21,Cloud Storage,sku-CLO-156,europe-west1,3.43,0.0,vm-analytics-1
proj-13,2024-11-21,BigQuery,sku-BIG-169,us-central1,39.16,0.0,vm-prod-1
proj-14,2024-11-21,Dataflow,sku-DAT-182,europe-west1,43.92,0.0,vm-dev-1
proj-15,2024-11-21,Cloud Run,sku-CLO-195,asia-south1,7.64,0.0,vm-batch-1
proj-16,2024-11-21,Compute Engine,sku-COM-208,asia-south1,13.96,0.0,vm-analytics-1
proj-17,2024-11-21,Cloud Storage,sku-CLO-221,asia-south1,3.35,0.0,vm-prod-1
proj-18,2024-11-21,BigQuery,sku-BIG-234,us-central1,283.68,0.0,vm-dev-1
proj-19,2024-11-21,Dataflow,sku-DAT-247,europe-west1,43.12,0.0,vm-batch-1
proj-20,2024-11-21,Cloud Run,sku-CLO-260,asia-south1,7.17,0.0,vm-analytics-1
proj-21,2024-11-21,Compute Engine,sku-COM-273,europe-west1,13.02,0.0,vm-prod-1
proj-22,2024-11-21,Cloud Storage,sku-CLO-286,us-central1,3.53,0.0,vm-dev-1
proj-23,2024-11-21,BigQuery,sku-BIG-299,us-central1,39.42,0.0,vm-batch-1
proj-24,2024-11-21,Dataflow,sku-DAT-312,europe-west1,40.1,0.0,vm-analytics-1
proj-25,2024-11-21,Cloud Run,sku-CLO-325,asia-south1,48.56,0.0,vm-prod-1
proj-26,2024-11-21,Compute Engine,sku-COM-338,europe-west1,13.5,0.0,vm-dev-1
proj-27,2024-11-21,Cloud Storage,sku-CLO-351,asia-south1,3.15,0.0,vm-batch-1
proj-28,2024-11-21,BigQuery,sku-BIG-364,europe-west1,36.94,0.0,vm-analytics-1
proj-29,2024-11-21,Dataflow,sku-DAT-377,us-central1,44.19,0.0,vm-prod-1
proj-30,2024-11-21,Cloud Run,sku-CLO-390,europe-west1,5.83,0.0,vm-dev-1
proj-1,2024-11-22,Compute Engine,sku-COM-13,europe-west1,13.7,0.0,vm-prod-1
proj-2,2024-11-22,Cloud Storage,sku-CLO-26,europe-west1,3.11,0.0,vm-dev-1
proj-3,2024-11-22,BigQuery,sku-BIG-39,europe-west1,38.73,0.0,vm-batch-1
proj-4,2024-11-22,Dataflow,sku-DAT-52,us-central1,42.03,0.0,vm-analytics-1
proj-5,2024-11-22,Cloud Run,sku-CLO-65,asia-south1,48.25,0.0,vm-prod-1
proj-6,2024-11-22,Compute Engine,sku-COM-78,europe-west1,14.33,0.0,vm-dev-1
proj-7,2024-11-22,Cloud Storage,sku-CLO-91,europe-west1,3.73,0.0,vm-batch-1
proj-8,2024-11-22,BigQuery,sku-BIG-104,europe-west1,38.79,0.0,vm-analytics-1
proj-9,2024-11-22,Dataflow,sku-DAT-117,europe-west1,42.18,0.0,vm-prod-1
proj-10,2024-11-22,Cloud Run,sku-CLO-130,europe-west1,6.87,0.0,vm-dev-1
proj-11,2024-11-22,Compute Engine,sku-COM-143,europe-west1,12.71,0.0,vm-batch-1
proj-12,2024-11-22,Cloud Storage,sku-CLO-156,us-central1,23.58,0.0,vm-analytics-1
proj-13,2024-11-22,BigQuery,sku-BIG-169,asia-south1,41.7,0.0,vm-prod-1
proj-14,2024-11-22,Dataflow,sku-DAT-182,europe-west1,40.62,0.0,vm-dev-1
proj-15,2024-11-22,Cloud Run,sku-CLO-195,asia-south1,6.69,0.0,vm-batch-1
proj-16,2024-11-22,Compute Engine,sku-COM-208,europe-west1,13.6,0.0,vm-analytics-1
proj-17,2024-11-22,Cloud Storage,sku-CLO-221,asia-south1,3.54,0.0,vm-prod-1
proj-18,2024-11-22,BigQuery,sku-BIG-234,us-central1,38.31,0.0,vm-dev-1
proj-19,2024-11-22,Dataflow,sku-DAT-247,us-central1,301.4,0.0,vm-batch-1
proj-20,2024-11-22,Cloud Run,sku-CLO-260,asia-south1,6.54,0.0,vm-analytics-1
proj-21,2024-11-22,Compute Engine,sku-COM-273,europe-west1,13.52,0.0,vm-prod-1
proj-22,2024-11-22,Cloud Storage,sku-CLO-286,asia-south1,3.13,0.0,vm-dev-1
proj-23,2024-11-22,BigQuery,sku-BIG-299,asia-south1,41.55,0.0,vm-batch-1
proj-24,2024-11-22,Dataflow,sku-DAT-312,asia-south1,39.91,0.0,vm-analytics-1
proj-25,2024-11-22,Cloud Run,sku-CLO-325,asia-south1,6.24,0.0,vm-prod-1
proj-26,2024-11-22,Compute Engine,sku-COM-338,us-central1,94.82,0.0,vm-dev-1
proj-27,2024-11-22,Cloud Storage,sku-CLO-351,asia-south1,3.18,0.0,vm-batch-1
proj-28,2024-11-22,BigQuery,sku-BIG-364,europe-west1,38.84,0.0,vm-analytics-1
proj-29,2024-11-22,Dataflow,sku-DAT-377,asia-south1,41.38,0.0,vm-prod-1
proj-30,2024-11-22,Cloud Run,sku-CLO-390,europe-west1,6.35,0.0,vm-dev-1
proj-1,2024-11-23,Compute Engine,sku-COM-13,us-central1,12.35,0.0,vm-prod-1
proj-2,2024-11-23,Cloud Storage,sku-CLO-26,europe-west1,2.85,0.0,vm-dev-1
proj-3,2024-11-23,BigQuery,sku-BIG-39,europe-west1,33.47,0.0,vm-batch-1
proj-4,2024-11-23,Dataflow,sku-DAT-52,us-central1,33.13,0.0,vm-analytics-1
proj-5,2024-11-23,Cloud Run,sku-CLO-65,europe-west1,5.86,0.0,vm-prod-1
proj-6,2024-11-23,Compute Engine,sku-COM-78,asia-south1,92.14,0.0,vm-dev-1
proj-7,2024-11-23,Cloud Storage,sku-CLO-91,asia-south1,2.64,0.0,vm-batch-1
proj-8,2024-11-23,BigQuery,sku-BIG-104,us-central1,34.87,0.0,vm-analytics-1
proj-9,2024-11-23,Dataflow,sku-DAT-117,us-central1,924.52,0.0,vm-prod-1
proj-10,2024-11-23,Cloud Run,sku-CLO-130,europe-west1,5.28,0.0,vm-dev-1
proj-11,2024-11-23,Compute Engine,sku-COM-143,europe-west1,12.85,0.0,vm-batch-1
proj-12,2024-11-23,Cloud Storage,sku-CLO-156,asia-south1,2.53,0.0,vm-analytics-1
proj-13,2024-11-23,BigQuery,sku-BIG-169,europe-west1,281.26,0.0,vm-prod-1
proj-14,2024-11-23,Dataflow,sku-DAT-182,asia-south1,37.93,0.0,vm-dev-1
proj-15,2024-11-23,Cloud Run,sku-CLO-195,europe-west1,5.71,0.0,vm-batch-1
proj-16,2024-11-23,Compute Engine,sku-COM-208,us-central1,12.12,0.0,vm-analytics-1
proj-17,2024-11-23,Cloud Storage,sku-CLO-221,asia-south1,2.97,0.0,vm-prod-1
proj-18,2024-11-23,BigQuery,sku-BIG-234,us-central1,34.94,0.0,vm-dev-1
proj-19,2024-11-23,Dataflow,sku-DAT-247,us-central1,36.45,0.0,vm-batch-1
proj-20,2024-11-23,Cloud Run,sku-CLO-260,europe-west1,47.24,0.0,vm-analytics-1
proj-21,2024-11-23,Compute Engine,sku-COM-273,us-central1,11.07,0.0,vm-prod-1
proj-22,2024-11-23,Cloud Storage,sku-CLO-286,asia-south1,3.19,0.0,vm-dev-1
proj-23,2024-11-23,BigQuery,sku-BIG-299,us-central1,36.97,0.0,vm-batch-1
proj-24,2024-11-23,Dataflow,sku-DAT-312,asia-south1,35.34,0.0,vm-analytics-1
proj-25,2024-11-23,Cloud Run,sku-CLO-325,asia-south1,5.4,0.0,vm-prod-1
proj-26,2024-11-23,Compute Engine,sku-COM-338,europe-west1,11.93,0.0,vm-dev-1
proj-27,2024-11-23,Cloud Storage,sku-CLO-351,europe-west1,23.34,0.0,vm-batch-1
proj-28,2024-11-23,BigQuery,sku-BIG-364,us-central1,36.19,0.0,vm-analytics-1
proj-29,2024-11-23,Dataflow,sku-DAT-377,asia-south1,36.05,0.0,vm-prod-1
proj-30,2024-11-23,Cloud Run,sku-CLO-390,asia-south1,5.43,0.0,vm-dev-1
proj-1,2024-11-24,Compute Engine,sku-COM-13,us-central1,11.36,0.0,vm-prod-1
proj-2,2024-11-24,Cloud Storage,sku-CLO-26,europe-west1,2.78,0.0,vm-dev-1
proj-3,2024-11-24,BigQuery,sku-BIG-39,asia-south1,39.24,0.0,vm-batch-1
proj-4,2024-11-24,Dataflow,sku-DAT-52,europe-west1,38.05,0.0,vm-analytics-1
proj-5,2024-11-24,Cloud Run,sku-CLO-65,us-central1,5.53,0.0,vm-prod-1
proj-6,2024-11-24,Compute Engine,sku-COM-78,us-central1,10.92,0.0,vm-dev-1
proj-7,2024-11-24,Cloud Storage,sku-CLO-91,asia-south1,2.99,0.0,vm-batch-1
proj-8,2024-11-24,BigQuery,sku-BIG-104,asia-south1,36.48,0.0,vm-analytics-1
proj-9,2024-11-24,Dataflow,sku-DAT-117,asia-south1,37.97,0.0,vm-prod-1
proj-10,2024-11-24,Cloud Run,sku-CLO-130,europe-west1,6.55,0.0,vm-dev-1
proj-11,2024-11-24,Compute Engine,sku-COM-143,asia-south1,11.55,0.0,vm-batch-1
proj-12,2024-11-24,Cloud Storage,sku-CLO-156,us-central1,3.08,0.0,vm-analytics-1
proj-13,2024-11-24,BigQuery,sku-BIG-169,europe-west1,33.99,0.0,vm-prod-1
proj-14,2024-11-24,Dataflow,sku-DAT-182,europe-west1,37.64,0.0,vm-dev-1
proj-15,2024-11-24,Cloud Run,sku-CLO-195,asia-south1,5.29,0.0,vm-batch-1
proj-16,2024-11-24,Compute Engine,sku-COM-208,us-central1,11.43,0.0,vm-analytics-1
proj-17,2024-11-24,Cloud Storage,sku-CLO-221,europe-west1,2.81,0.0,vm-prod-1
proj-18,2024-11-24,BigQuery,sku-BIG-234,asia-south1,34.72,0.0,vm-dev-1
proj-19,2024-11-24,Dataflow,sku-DAT-247,us-central1,36.63,0.0,vm-batch-1
proj-20,2024-11-24,Cloud Run,sku-CLO-260,asia-south1,5.94,0.0,vm-analytics-1
proj-21,2024-11-24,Compute Engine,sku-COM-273,asia-south1,11.32,0.0,vm-prod-1
proj-22,2024-11-24,Cloud Storage,sku-CLO-286,europe-west1,2.97,0.0,vm-dev-1
proj-23,2024-11-24,BigQuery,sku-BIG-299,us-central1,38.14,0.0,vm-batch-1
proj-24,2024-11-24,Dataflow,sku-DAT-312,us-central1,35.31,0.0,vm-analytics-1
proj-25,2024-11-24,Cloud Run,sku-CLO-325,us-central1,5.67,0.0,vm-prod-1
proj-26,2024-11-24,Compute Engine,sku-COM-338,europe-west1,9.88,0.0,vm-dev-1
proj-27,2024-11-24,Cloud Storage,sku-CLO-351,us-central1,2.5,0.0,vm-batch-1
proj-28,2024-11-24,BigQuery,sku-BIG-364,asia-south1,33.2,0.0,vm-analytics-1
proj-29,2024-11-24,Dataflow,sku-DAT-377,asia-south1,37.41,0.0,vm-prod-1
proj-30,2024-11-24,Cloud Run,sku-CLO-390,asia-south1,5.87,0.0,vm-dev-1
proj-1,2024-11-25,Compute Engine,sku-COM-13,us-central1,13.49,0.0,vm-prod-1
proj-2,2024-11-25,Cloud Storage,sku-CLO-26,us-central1,3.29,0.0,vm-dev-1
proj-3,2024-11-25,BigQuery,sku-BIG-39,us-central1,43.29,0.0,vm-batch-1
proj-4,2024-11-25,Dataflow,sku-DAT-52,us-central1,41.27,0.0,vm-analytics-1
proj-5,2024-11-25,Cloud Run,sku-CLO-65,us-central1,6.42,0.0,vm-prod-1
proj-6,2024-11-25,Compute Engine,sku-COM-78,us-central1,14.18,0.0,vm-dev-1
proj-7,2024-11-25,Cloud Storage,sku-CLO-91,europe-west1,3.35,0.0,vm-batch-1
proj-8,2024-11-25,BigQuery,sku-BIG-104,us-central1,39.78,0.0,vm-analytics-1
proj-9,2024-11-25,Dataflow,sku-DAT-117,us-central1,42.61,0.0,vm-prod-1
proj-10,2024-11-25,Cloud Run,sku-CLO-130,us-central1,7.32,0.0,vm-dev-1
proj-11,2024-11-25,Compute Engine,sku-COM-143,asia-south1,12.92,0.0,vm-batch-1
proj-12,2024-11-25,Cloud Storage,sku-CLO-156,us-central1,3.45,0.0,vm-analytics-1
proj-13,2024-11-25,BigQuery,sku-BIG-169,europe-west1,39.85,0.0,vm-prod-1
proj-14,2024-11-25,Dataflow,sku-DAT-182,us-central1,41.02,0.0,vm-dev-1
proj-15,2024-11-25,Cloud Run,sku-CLO-195,asia-south1,7.33,0.0,vm-batch-1
proj-16,2024-11-25,Compute Engine,sku-COM-208,us-central1,13.62,0.0,vm-analytics-1
proj-17,2024-11-25,Cloud Storage,sku-CLO-221,europe-west1,3.28,0.0,vm-prod-1
proj-18,2024-11-25,BigQuery,sku-BIG-234,asia-south1,40.01,0.0,vm-dev-1
proj-19,2024-11-25,Dataflow,sku-DAT-247,asia-south1,41.86,0.0,vm-batch-1
proj-20,2024-11-25,Cloud Run,sku-CLO-260,europe-west1,6.79,0.0,vm-analytics-1
proj-21,2024-11-25,Compute Engine,sku-COM-273,us-central1,12.73,0.0,vm-prod-1
proj-22,2024-11-25,Cloud Storage,sku-CLO-286,us-central1,3.38,0.0,vm-dev-1
proj-23,2024-11-25,BigQuery,sku-BIG-299,asia-south1,40.62,0.0,vm-batch-1
proj-24,2024-11-25,Dataflow,sku-DAT-312,us-central1,40.77,0.0,vm-analytics-1
proj-25,2024-11-25,Cloud Run,sku-CLO-325,asia-south1,6.38,0.0,vm-prod-1
proj-26,2024-11-25,Compute Engine,sku-COM-338,asia-south1,12.46,0.0,vm-dev-1
proj-27,2024-11-25,Cloud Storage,sku-CLO-351,us-central1,3.46,0.0,vm-batch-1
proj-28,2024-11-25,BigQuery,sku-BIG-364,us-central1,38.1,0.0,vm-analytics-1
proj-29,2024-11-25,Dataflow,sku-DAT-377,us-central1,40.45,0.0,vm-prod-1
proj-30,2024-11-25,Cloud Run,sku-CLO-390,asia-south1,6.51,0.0,vm-dev-1
proj-1,2024-11-26,Compute Engine,sku-COM-13,europe-west1,14.41,0.0,vm-prod-1
proj-2,2024-11-26,Cloud Storage,sku-CLO-26,us-central1,3.34,0.0,vm-dev-1
proj-3,2024-11-26,BigQuery,sku-BIG-39,us-central1,42.85,0.0,vm-batch-1
proj-4,2024-11-26,Dataflow,sku-DAT-52,us-central1,41.11,0.0,vm-analytics-1
proj-5,2024-11-26,Cloud Run,sku-CLO-65,asia-south1,7.2,0.0,vm-prod-1
proj-6,2024-11-26,Compute Engine,sku-COM-78,europe-west1,13.74,0.0,vm-dev-1
proj-7,2024-11-26,Cloud Storage,sku-CLO-91,us-central1,3.33,0.0,vm-batch-1
proj-8,2024-11-26,BigQuery,sku-BIG-104,europe-west1,37.17,0.0,vm-analytics-1
proj-9,2024-11-26,Dataflow,sku-DAT-117,europe-west1,44.72,0.0,vm-prod-1
proj-10,2024-11-26,Cloud Run,sku-CLO-130,asia-south1,7.09,0.0,vm-dev-1
proj-11,2024-11-26,Compute Engine,sku-COM-143,asia-south1,13.7,0.0,vm-batch-1
